추출명	판정	대상/사유
Lying Neck Extension (Weighted)	흡수	라잉 넥 익스텐션 + loadMode
Negative Pull Up	신규	'네거티브 풀업'
Overhead Plate Raise	신규	'오버헤드 플레이트 레이즈'
Overhead Triceps Extension (Cable)	스킵	케이블 오버헤드 익스텐션 보유
Partial Glute Bridge (Barbell)	흡수	글루트 브릿지 + partialReps(깔짝) 기록
Pause Squat (Barbell)	신규	'포즈 스쿼트'
Pendulum Squat (Machine)	스킵	펜듈럼 스쿼트 보유
Pilates	신규	'필라테스' cardio
Plate Squeeze (Svend Press)	통합	'스벤드 프레스' 신규 1건으로
Pullover (Machine)	신규	'풀오버 머신'
Rear Kick (Machine)	통합	'글루트 킥백 머신' 신규 1건으로
Recumbent Bike	신규	'리컴번트 바이크' cardio
Reverse Curl (Cable)	신규	'리버스 컬 (케이블)'
Reverse Grip Triceps Pushdown	신규	'리버스 그립 푸시다운'
Reverse Wrist Curl (Dumbbell)	흡수	리버스 리스트 컬 + 변형 축(덤벨)
Ring Pull Up	신규	'링 풀업'
Ring Push Up	신규	'링 푸시업'
Romanian Deadlift (Smith Machine)	흡수	루마니안 데드리프트 (바벨) + 변형 축(스미스)
Seal Row (Barbell)	신규	'씰 로우'
Seal Row (Dumbbell)	흡수	씰 로우 + 변형 축(덤벨)
Seated Cable Row - V Grip (Cable)	흡수	시티드 케이블 로우 + 그립(세트 속성)
Seated Chest Flys (Cable)	신규	'시티드 케이블 플라이'
Seated Incline Hammer Curl (Dumbbell)	흡수	인클라인 덤벨 컬 + 그립(뉴트럴)
Seated Wrist Curl (Barbell)	스킵	리스트 컬 (바벨) 보유
Shoulder Press (Machine Plates)	스킵	숄더 프레스 머신 + 브랜드/커스텀 변형 축
Shrug (Machine)	신규	'슈러그 (머신)'
Single Arm Curl (Cable)	흡수	케이블 컬 + uni(원암)
Single Arm Lateral Raise (Cable)	흡수	케이블 레터럴 레이즈 + uni
Single Arm Triceps Pushdown (Cable)	흡수	트라이셉스 푸시다운 + uni
Single Leg Hip Thrust (Dumbbell)	흡수	힙 쓰러스트 + uni(원레그)
Ski Erg	스킵	스키에르그 보유
Sled Pull	신규	'슬레드 풀'
Sled Push	신규	'슬레드 푸시'
Spider Curl (Dumbbell)	흡수	스파이더 컬 + 변형 축(덤벨)
Standing Calf Raise (Smith)	흡수	스탠딩 카프 레이즈 + 변형 축(스미스)
Standing Y Raise (Cable)	신규	'케이블 Y 레이즈'
Suitcase Carry (Dumbbell)	신규	'수트케이스 캐리'
Sumo Squat	신규	'스모 스쿼트'(맨몸/덤벨/케틀벨/바벨=변형 축)
Sumo Squat (Dumbbell)	통합	스모 스쿼트로
Sumo Squat (Kettlebell)	통합	스모 스쿼트 + 변형 축
T 바 로우	스킵	티바 로우 동일
Toe Touch	신규	'토 터치'
Triceps Kickback (Cable)	스킵	트라이셉스 킥백 (케이블) 보유
V 싯 업	신규	'V 싯업'
Vertical Traction (Machine)	스킵	랫 풀다운(머신 명칭 차이) 동일 취급
Waiter Curl (Dumbbell)	신규	'웨이터 컬'
Walking Lunge	스킵	워킹 런지 보유
Walking Lunge (Dumbbell)	흡수	워킹 런지 + 변형 축
Walking Lunge (Sandbag)	흡수	워킹 런지(샌드백은 기타 — 변형 축 밖, 동일 기록)
Warm Up	제외	종목 아님(일반 준비운동)
Wide-Elbow Triceps Press (Dumbbell)	신규	'와이드 엘보 트라이셉스 프레스'
개구리 점프	신규	'프로그 점프'
글루트 킥 백 (머신)	신규	'글루트 킥백 머신'
글루트 킥 백 (바닥에서)	신규	'글루트 킥백'
글루트 햄 레이즈	신규	'글루트 햄 레이즈'
니 레이즈 패러럴 바	신규	'패러럴 바 니 레이즈'
닐링 푸쉬 업	신규	'닐링 푸시업'
닐링 풀 다운 (밴드)	흡수	랫 풀다운 + 변형 축(밴드 — 신설 축)
다운 도그	스킵	요가/스트레칭(신규 cardio)으로 흡수
달리기 (실외)	스킵	러닝 보유
덤벨 스퀴즈 프레스	신규	'덤벨 스퀴즈 프레스'
데드 버그	신규	'데드 버그'
데드 행	신규	'데드 행'
데드리프트 하이 풀	신규	'데드리프트 하이 풀'
드래곤 플라이	통합	'드래곤 플래그'와 동일 취급
드래곤 플래그	신규	'드래곤 플래그'
드래그 컬	신규	'드래그 컬'
디클라인 벤치 프레스 (덤벨/머신/바벨/스미스 머신)	스킵	디클라인 프레스 계열·디클라인 체스트 프레스 머신 보유
디클라인 체스트 플라이 (덤벨)	신규	'디클라인 덤벨 플라이'
디클라인 크런치	신규	'디클라인 크런치'(싯업과 별개)
디클라인 크런치 (중량)	흡수	디클라인 크런치 + loadMode
디클라인 푸쉬 업	신규	'디클라인 푸시업'
라잉 니 레이즈	신규	'라잉 니 레이즈'
락 풀	스킵	랙 풀 동일(OCR)
랜드마인 180	신규	'랜드마인 180'
레그 레이즈 패러럴 바	신규	'패러럴 바 레그 레이즈'
레니게이드 로우 (덤벨)	신규	'레니게이드 로우'
레터럴 런지	신규	'레터럴 런지'
레터럴 레그 레이즈	신규	'레터럴 레그 레이즈'
레터럴 박스 점프	신규	'레터럴 박스 점프'
레터럴 밴드 워크	신규	'레터럴 밴드 워크'
레터럴 스쿼트	신규	'레터럴 스쿼트'
레터럴 체스트 프레스 (머신)	스킵	해머스트렝스 체스트 프레스 동일 취급
렛 풀다운 - 좁은 그립 (케이블)	스킵	클로즈그립 풀다운 보유
로르딕 햄드스링 컬	스킵	노르딕 컬(OCR 오독)
로우 케이블 플라이 크로스오버	스킵	로우 케이블 플라이 보유
로프 스트레이트 암 풀 다운	흡수	스트레이트암 풀다운(로프 어태치먼트)
로프 케이블 컬	스킵	케이블 해머 컬 동일(로프=뉴트럴)
리버스 그립 렛 풀 다운 (케이블)	흡수	랫 풀다운 + 그립(언더)
리버스 그립 컨센트레이션 컬	흡수	컨센트레이션 컬 + 그립
리버스 런지 (±바벨/덤벨)	신규	'리버스 런지' 1건 + 변형 축
리버스 컬 (덤벨)	신규	'리버스 컬 (덤벨)'
리버스 컬 (바벨)	스킵	리버스 바벨 컬 보유(KEY 불변)
리버스 펙덱 플라이 (머신)	스킵	리버스 펙 덱 보유
리버스 플라이 (덤벨/케이블/싱글 암)	스킵	덤벨/케이블 리어 델트 플라이 보유(싱글암=uni)
리버스 플랭크	신규	'리버스 플랭크'
리버스 하이퍼 익스텐션	신규	'리버스 하이퍼익스텐션'
리스트 롤	신규	'리스트 롤러'
링 딥스	신규	'링 딥스'(equipment other — 신규 표 등: 가슴 계열에 포함)
머슬 업	신규	'머슬업'
메도우스 로우	신규	'메도우스 로우'
물구나무 서기	신규	'핸드스탠드 홀드'
바이셉스 컬 (덤벨/머신/바벨/케이블)	스킵	덤벨/머신/바벨/케이블 컬 보유
바이셉스 컬 (서스펜션)	제외	서스펜션 축 미지원(스펙 결정)
바이시클 크런치 레그 레이즈	스킵	바이시클 크런치 동일 취급
박수 푸쉬 업	신규	'클랩 푸시업'
박스 스쿼트 (바벨)	신규	'박스 스쿼트'
박스 점프	신규	'박스 점프'
백 익스텐션 (머신)	신규	'백 익스텐션 머신'
백 익스텐션 (중량 하이퍼익스텐션)	흡수	하이퍼익스텐션 + loadMode
백 익스텐션 (하이퍼익스텐션)	스킵	하이퍼익스텐션 보유
밴드 풀 아파트	신규	'밴드 풀 어파트'
버드 독	신규	'버드 독'
버터플라이(펙덱 플라이)	스킵	펙 덱 플라이 보유
버피 오버 더 바	신규	'버피 오버 더 바'
벤체 프레스 - 좁은 그립 (바벨)	스킵	클로즈 그립 벤치프레스 보유
벤치 딥	스킵	벤치 딥스 보유
벤치 프레스 - 넓은 그립 (바벨)	흡수	바벨 벤치프레스 + 그립(와이드)
벤트 오버 로우 (덤벨/바벨)	스킵	바벨/덤벨 로우 보유
벤트 오버 로우 (밴드)	흡수	바벨 로우 + 변형 축(밴드)
벤트 오버 플라이 (덤벨)	스킵	덤벨 리어 델트 플라이 보유
복싱	신규	'복싱' cardio
볼 슬램	신규	'메디신 볼 슬램'
브릿지	스킵	글루트 브릿지 동일 취급(무게 0 기록)
비하인드 더 백 리스트 컬 (바벨)	신규	'비하인드 백 리스트 컬'
사이드 밴드 (±덤벨)	신규	'사이드 벤드' 1건(통용 표기 교정 — qa 리뷰)
사이드 크런치	신규	'사이드 크런치'
숄더 탭	신규	'숄더 탭'
수영	신규	'수영' cardio
수평 레그 프레스 (머신)	흡수	레그 프레스 + 브랜드/커스텀 변형 축
슈퍼맨	신규	'슈퍼맨'
스노우 보드	신규	'스노우보드' cardio
스러스터 (바벨/케틀벨)	흡수	쓰러스터 + 변형 축
스모 스쿼트 (바벨)	통합	스모 스쿼트 + 변형 축
스캐퓰러 풀업	신규	'스캐퓰러 풀업'
스케이팅	신규	'스케이팅' cardio
스쿼트 로우	제외	서스펜션 전용·모호(스펙 결정)
스키	신규	'스키' cardio
스탠딩 레그 컬	신규	'스탠딩 레그 컬'
스탠딩 밀리터리 프레스 (바벨)	스킵	밀리터리 프레스 보유
스터넘 풀 업	신규	'스터넘 풀업'
스텐딩 케이블 글루트 킥 백	스킵	케이블 킥백 보유
스트레칭	신규	'스트레칭' cardio(시간 기록)
스티프 데드 리프트	스킵	스티프 레그 데드리프트 보유
스파이더맨	신규	'스파이더맨 플랭크'
스프린트	신규	'스프린트' cardio
스플릿 스쿼트 (덤벨)	신규	'스플릿 스쿼트'
스플릿 저크	신규	'스플릿 저크'
스피닝 (실내 자전거)	스킵	실내 사이클 보유
시티드 딥 머신	스킵	딥 머신 보유
시티드 레터럴 레이즈 (덤벨)	흡수	덤벨 레터럴 레이즈(자세 변형)
시티드 로우 (머신)	스킵	머신 로우 보유
시티드 리스트 익스텐션 (바벨)	스킵	리버스 리스트 컬 동일
시티드 숄더 프레드 (머신)	스킵	숄더 프레스 머신 보유
시티드 오버헤드 프레드 (덤벨/바벨)	스킵	덤벨 숄더 프레스/오버헤드 프레스 보유
시티드 인클라인 컬 (덤벨)	스킵	인클라인 덤벨 컬 보유
시티드 케이블 로우 - 넓은 그립	흡수	시티드 케이블 로우 + 그립
시티드 트라이셉스 프레스	스킵	오버헤드 트라이셉스 익스텐션 동일 취급
시티드 팜 업 리스트 컬	스킵	리스트 컬 보유
싱글 레그 글루트 브릿지	흡수	글루트 브릿지 + uni
싱글 레그 루마니안 데드리프트 (±)	흡수	루마니안 데드리프트 + uni
싱글 레그 스탠딩 카프 레이즈 (4종)	흡수	스탠딩 카프 레이즈 + uni(+변형 축)
싱글 레그 익스텐션	흡수	레그 익스텐션 + uni
싱글 레그 프레스 (머신)	흡수	레그 프레스 + uni
싱글 레그 힙 쓰러스트	흡수	힙 쓰러스트 + uni
싱글 암 랜드마인 프레스 (바벨)	흡수	랜드마인 프레스 + uni
싱글 암 렛 풀다운	스킵	원암 랫풀다운 보유
싱글 암 케이블 로우	흡수	시티드 케이블 로우 + uni
싱글 암 케이블 크로스오버	흡수	케이블 크로스오버 + uni
씨씨 스쿼트 (중량)	흡수	시시 스쿼트 + loadMode
아놀스 프레스 (덤벨)	스킵	아놀드 프레스(OCR)
아이소 레터럴 로우/하이 로우 (머신)	스킵	로우 로우/하이 로우 보유
어라운드 더 월드	신규	'덤벨 어라운드 더 월드'
어시스티드 피스톨 스쿼트	통합	피스톨 스쿼트로(어시스트 동일 취급)
에어로빅	신규	'에어로빅' cardio
오버헤드 덤벨 런지	신규	'오버헤드 런지'
오버헤드 스쿼트	신규	'오버헤드 스쿼트'
오버헤드 컬 (케이블)	신규	'오버헤드 케이블 컬'
와이드 풀 업	흡수	풀업 + 그립(와이드)
요가	신규	'요가' cardio
원 암 트라이셉스 익스텐션 (덤벨)	흡수	오버헤드 트라이셉스 익스텐션 + uni
원 암 푸쉬 업	신규	'원암 푸시업'
월 볼	신규	'월 볼'
월 싯	신규	'월 싯'
이지바 바이셉스 컬	스킵	이지바 컬 보유
인클라인 벤치/체스트 프레스 (전 기구)	스킵	인클라인 프레스 계열 보유
인클라인 체스트 플라이 (덤벨)	스킵	인클라인 덤벨 플라이 보유
일립티컬 트레이너	스킵	일립티컬 보유
자전거 (실외)	신규	'야외 사이클' cardio
잭나이프 싯 업	통합	'V 싯업'으로
저쳐 스쿼트	신규	'저처 스쿼트'
점프 런지	신규	'점프 런지'
점프 슈러그	신규	'점프 슈러그'
점프 스쿼트	신규	'점프 스쿼트'
젝 나이프 (서스펜션)	제외	서스펜션 축 미지원
조트맨 컬 (덤벨)	신규	'조트맨 컬'
체스트 서포티드 인클리인 로우 (덤벨)	스킵	체스트 서포티드 로우 (덤벨) 보유
체스트 프레스 (밴드)	흡수	체스트 프레스 머신 아님 — 푸시업/체스트 프레스 + 밴드 축(집행 시 재검: 대응 없으면 스킵)
체스트 플라이 (덤벨/머신/밴드/서스펜션)	스킵	덤벨 플라이·펙 덱 보유(밴드=축, 서스펜션=제외)
카프 익스텐션 (머신)	스킵	레그 프레스 카프 레이즈 동일 취급
카프 프레스 ( 머신)	스킵	〃
컬시 런지	신규	'커시 런지'
케이블 코어 팔로프 프레스	신규	'팔로프 프레스'
케이블 트위스트(상하 2종)	스킵	케이블 우드촙 동일 취급(방향 무관 기록)
케이블 풀 쓰루	신규	'케이블 풀 스루'
케이블 플라이 크로스오버	스킵	케이블 크로스오버 보유
케틀벨 터키쉬 겟 업	신규	'터키시 겟업'
케틀벨 하이 풀	신규	'케틀벨 하이 풀'
케틸벨 클린	흡수	바벨 클린 + 변형 축(케틀벨)
크램쉘	신규	'클램셸'
크로스 바디 헤머 컬	신규	'크로스 바디 해머 컬'
클라이밍	신규	'클라이밍' cardio
클린 앤 프레스	신규	'클린 앤 프레스'
클린 풀	신규	'클린 풀'
키핑 풀업	신규	'키핑 풀업'
토르소 로테이션	신규	'토르소 로테이션 머신'
토우 투 바	신규	'토즈 투 바'
트라이셉스 익스텐션 (바벨/덤벨/케이블/서스펜션)	스킵	스컬 크러셔·오버헤드/케이블 익스텐션 계열 보유(서스펜션=제외)
트라이셉스 익스텐션 (머신)	신규	'트라이셉스 익스텐션 머신'
트레드밀 (러닝머신)	스킵	러닝머신 보유
파워 스내치	신규	'파워 스내치'
파워 클린	스킵	바벨 클린 동일(기존 nameEn이 'Power Clean' — qa 리뷰 재판정, 신규 발급 시 seedId 충돌+자동 rename으로 KEY 파괴)
파이어 하이드런트	신규	'파이어 하이드런트'
파이크 푸쉬 업	신규	'파이크 푸시업'
팔 굽혀 펴기 (±중량/좁은 그립)	스킵	푸시업·다이아몬드 푸시업 보유(중량=loadMode)
팔벌려 뛰기	신규	'점핑 잭'
푸쉬 다운	스킵	트라이셉스 푸시다운 보유
푸쉬 프레스	신규	'푸시 프레스'
풀 스쿼트	흡수	바벨 스쿼트(깊이 변형 동일 취급)
프레스 다운	스킵	트라이셉스 푸시다운 동일
프레스 언더	신규	'프레스 언더'
프로그 펌프 (덤벨)	신규	'프로그 펌프'
프론트 레버 레이즈	신규	'프론트 레버 레이즈'
프론트 레버 홀드	신규	'프론트 레버 홀드'
플러터 킥	신규	'플러터 킥'
플레이트 컬	신규	'플레이트 컬'
플레이트 프레스	통합	'스벤드 프레스'로
플레이트 프론트 레이즈	신규	'프론트 레이즈 (플레이트)'
플렝크 푸쉬 업	신규	'플랭크 푸시업'
플로어 트라이셉스 딥스	스킵	벤치 딥스 동일 취급
플로어 프레스 (±덤벨)	신규	'플로어 프레스' 1건 + 변형 축
피스톨 스쿼트	신규	'피스톨 스쿼트'
핀 휠 컬(덤벨)	통합	'크로스 바디 해머 컬'로(동일 종목)
하이 니	신규	'하이 니'
하이킹	신규	'하이킹' cardio
할로우 락	신규	'할로우 락'
핸드스텐드 푸쉬 업	신규	'핸드스탠드 푸시업'
행 스내치	신규	'행 스내치'
행 클린	신규	'행 클린'
행잉 니 레이즈	신규	'행잉 니 레이즈'
히트	신규	'HIIT' cardio
힐 탭	신규	'힐 터치'
힙 어덕션 (머신)	스킵	힙 어덕션 머신 보유
힙 어브덕션 (머신)	스킵	힙 어브덕션 머신 보유
